stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code,stop_access
n1301959208,010016,天安门西C出口,天安门西C出口,,39.9056607,116.3844231,,,2,r1602849,,,,,
n339084700,010017,天安门东(上行),天安门东,,39.9062701,116.3949205,,,0,r1602851,,,,,
r1602851,010017,天安门东,天安门东,,39.9063337,116.3949169,,,1,,,,,,
n1024947212,010017,天安门东A出口,天安门东A出口,,39.9065822,116.3937637,,,2,r1602851,,,,,
n2359088026,010017,天安门东出口,天安门东出口,,39.9054649,116.3944869,,,2,r1602851,,,,,
n4710638759,010017,天安门东出口,天安门东出口,,39.9054978,116.3957693,,,2,r1602851,,,,,
n1301959254,010017,天安门东B出口,天安门东B出口,,39.9067457,116.3961232,,,2,r1602851,,,,,
n339084979,080045,王府井(上行),王府井,,39.9066195,116.4051694,,,0,r1603635,,,,,
r1603635,080045,王府井,王府井,,39.9069496,116.4052789,,,1,,,,,,
n1302986764,080045,王府井出口,王府井出口,,39.9068842,116.404642,,,2,r1603635,,,,,
n1302986800,080045,王府井出口,王府井出口,,39.9063978,116.4046594,,,2,r1603635,,,,,
n1302986771,080045,王府井B1出口,王府井B1出口,,39.906977,116.4058262,,,2,r1603635,,,,,
n1302986770,080045,王府井出口,王府井出口,,39.9078407,116.4054314,,,2,r1603635,,,,,
n1302986772,080045,王府井B3出口,王府井B3出口,,39.9064537,116.4058287,,,2,r1603635,,,,,
n1302986794,080045,王府井B2出口,王府井B2出口,,39.9064647,116.4061439,,,2,r1603635,,,,,
n339085117,050053,东单(上行),东单,,39.9068495,116.4139666,,,0,r8047913,,,,,
r8047913,050053,东单,东单,,39.9068579,116.412626,,,1,,,,,,
n1654257562,050053,东单D出口,东单D出口,,39.9066033,116.4125494,,,2,r8047913,,,,,
n4716204515,050053,东单出口,东单出口,,39.906638,116.4145286,,,2,r8047913,,,,,
n1654257557,050053,东单A出口,东单A出口,,39.907138,116.4126582,,,2,r8047913,,,,,
n7825512449,050053,东单A出口,东单A出口,,39.907141,116.4131074,,,2,r8047913,,,,,
n7825512462,050053,东单A出口,东单A出口,,39.907165,116.4149093,,,2,r8047913,,,,,
n1654257552,050053,东单出口,东单出口,,39.9065699,116.4111565,,,2,r8047913,,,,,
n339085190,020011,建国门(上行),建国门,,39.9071023,116.4287228,,,0,r1603641,,,,,
r1603641,020011,建国门,建国门,,39.9071594,116.4292321,,,1,,,,,,
n1189531268,020011,建国门A出口,建国门A出口,,39.9077677,116.4279738,,,2,r1603641,,,,,
n1195696804,020011,建国门C出口,建国门C出口,,39.9065972,116.4282856,,,2,r1603641,,,,,
n1195696945,020011,建国门B出口,建国门B出口,,39.9076538,116.4307333,,,2,r1603641,,,,,
n339085194,170043,永安里(上行),永安里,,39.9070574,116.4441504,,,0,r1604004,,,,,
r1604004,170043,永安里,永安里,,39.9070982,116.44415,,,1,,,,,,
n9116005228,170043,永安里A1出口,永安里A1出口,,39.9072408,116.4438884,,,2,r1604004,,,,,
n1647463797,170043,永安里A2出口,永安里A2出口,,39.9069499,116.4438805,,,2,r1604004,,,,,
n10299687569,170043,永安里B出口,永安里B出口,,39.9075518,116.4452411,,,2,r1604004,,,,,
n11097391063,170043,永安里B1出口,永安里B1出口,,39.9072262,116.4455603,,,2,r1604004,,,,,
n11097391060,170043,永安里B2出口,永安里B2出口,,39.9069227,116.4456367,,,2,r1604004,,,,,
n1303500733,170043,永安里C出口,永安里C出口,,39.9068314,116.4449714,,,2,r1604004,,,,,
n339085195,100039,国贸(上行),国贸,,39.9069856,116.4532958,,,0,r1604001,,,,,
r1604001,100039,国贸,国贸,,39.9070164,116.4556474,,,1,,,,,,
n3450739378,100039,国贸A出口,国贸A出口,,39.9075196,116.452999,,,2,r1604001,,,,,
n3450739381,100039,国贸B出口,国贸B出口,,39.9075423,116.4545439,,,2,r1604001,,,,,
n3450739380,100039,国贸C出口,国贸C出口,,39.9062912,116.4544957,,,2,r1604001,,,,,
n3450739379,100039,国贸D出口,国贸D出口,,39.90655,116.45225,,,2,r1604001,,,,,
n3450739382,100039,国贸E1出口,国贸E1出口,,39.9078858,116.4546217,,,2,r1604001,,,,,
n3450739383,100039,国贸E2出口,国贸E2出口,,39.9086681,116.4547671,,,2,r1604001,,,,,
n3450739385,100039,国贸F出口,国贸F出口,,39.9084598,116.4568262,,,2,r1604001,,,,,
n3450739384,100039,国贸G出口,国贸G出口,,39.9074945,116.457688,,,2,r1604001,,,,,
n10695100926,100039,国贸2出口,国贸2出口,,39.9055377,116.4552217,,,2,r1604001,,,,,
n339085203,140067,大望路(上行),大望路,,39.9069222,116.4694903,,,0,r1604003,,,,,
r1604003,140067,大望路,大望路,,39.9069399,116.4712272,,,1,,,,,,
n2299602091,140067,大望路C出口,大望路C出口,,39.9066988,116.4700024,,,2,r1604003,,,,,
n1303500882,140067,大望路A出口,大望路A出口,,39.9073896,116.470911,,,2,r1604003,,,,,
n4832116899,140067,大望路D出口,大望路D出口,,39.9073126,116.46912,,,2,r1604003,,,,,
n4832116900,140067,大望路H出口,大望路H出口,,39.9075383,116.4714256,,,2,r1604003,,,,,
n4832116901,140067,大望路E出口,大望路E出口,,39.9092111,116.4713675,,,2,r1604003,,,,,
n4832116902,140067,大望路F出口,大望路F出口,,39.9091335,116.4720078,,,2,r1604003,,,,,
n4832116903,140067,大望路出口,大望路出口,,39.9073722,116.4726846,,,2,r1604003,,,,,
n4832116898,140067,大望路B出口,大望路B出口,,39.9062156,116.4703935,,,2,r1604003,,,,,
n339085253,010024,四惠(上行),四惠,,39.9075901,116.4893805,,,0,r1604002,,,,,
r1604002,010024,四惠,四惠,,39.9075722,116.4893819,,,1,,,,,,
n1303502778,010024,四惠出口,四惠出口,,39.907766,116.4900645,,,2,r1604002,,,,,
n1303502769,010024,四惠出口,四惠出口,,39.9078221,116.4887172,,,2,r1604002,,,,,
