osm_stop_position_id,osm_stop_area_group_id,osm_stop_area_id,osm_station_id,osm_entrance_ids,station_id,device_location,fare_location,name_cn,stop_code,amap_id,amap_name,adcode
n3369458280,osm_stop_area_group_id,r4630718,n3369459837,n10862421887,108,150996763,150996763,广安门内,070027,amap_id,amap_name,adcode
n3369459390,osm_stop_area_group_id,r9736321,n3369459847,"n8830757627,n8830757632,n8830757646,n8830757651",45,150996765,150995082,菜市口,070029,amap_id,amap_name,adcode
n3369459806,osm_stop_area_group_id,r4630727,n3369459848,"n4844392642,n6732322957,n6731175877",109,150996767,150996767,虎坊桥,070031,amap_id,amap_name,adcode
n3369459913,osm_stop_area_group_id,r15665232,n6172173698,"n7149581579,n7589864652,n7589864651,n7589864650",110,150996769,150995127,珠市口,070033,amap_id,amap_name,adcode
n3369459930,osm_stop_area_group_id,r4630721,n3369459839,,111,150996771,150996771,桥湾,070035,amap_id,amap_name,adcode
n3369459945,osm_stop_area_group_id,r9803542,n3369459846,"n1359090003,n1359090002",65,150996773,150995069,磁器口,070037,amap_id,amap_name,adcode
n3369459811,osm_stop_area_group_id,r4630719,n3369459840,,112,150996775,150996775,广渠门内,070039,amap_id,amap_name,adcode
n3369459965,osm_stop_area_group_id,r4630720,n3369459838,,113,150996777,150996777,广渠门外,070041,amap_id,amap_name,adcode
n3369459955,osm_stop_area_group_id,r8378140,n3369459833,"n6780237716,n6780237778,n6780237774",114,150997545,150995112,双井,100041,amap_id,amap_name,adcode
n3369459952,osm_stop_area_group_id,r9736326,n3369001428,"n6780237764,n6780237698,n6780237763,n6780237715,n6780237782",115,150998593,150995123,九龙山,140065,amap_id,amap_name,adcode
n3369459958,osm_stop_area_group_id,r4630717,n3369459836,"n6780237714,n6780237766,n6780237700",116,150996783,150996783,大郊亭,070047,amap_id,amap_name,adcode
n3369459932,osm_stop_area_group_id,r4630726,n3369459845,"n6780237732,n6780237706,n6780237760,n6780237761",117,150996785,150996785,百子湾,070049,amap_id,amap_name,adcode
n3369459385,osm_stop_area_group_id,r4630713,n3369459831,"n11292812964,n6780237733,n6780237723",118,150996787,150996787,化工,070051,amap_id,amap_name,adcode
n3369459372,osm_stop_area_group_id,r4630714,n3369459832,"n6780237750,n6780237741,n6780237726,n6780237701",119,150996789,150996789,南楼梓庄,070053,amap_id,amap_name,adcode
n3369459362,osm_stop_area_group_id,r4630722,n3369459841,"n6780237756,n6780238186",120,150996791,150996791,欢乐谷景区,070055,amap_id,amap_name,adcode
n3369459338,osm_stop_area_group_id,r4630716,n3369459835,"n6780237739,n6780237743",121,150996793,150996793,垡头,070057,amap_id,amap_name,adcode
n3369459329,osm_stop_area_group_id,r4630715,n3369459834,"n6780237771,n6780238193,n6780237709,n6780237694",122,150996795,150996795,双合,070059,amap_id,amap_name,adcode
n3369459319,osm_stop_area_group_id,r4630724,n3369459843,"n6780237696,n6780237729,n6780237697,n6780237736",123,150996797,150996797,焦化厂,070061,amap_id,amap_name,adcode
n7117305932,osm_stop_area_group_id,r10558273,n6930098566,,349,150996799,150996799,黄厂,070063,amap_id,amap_name,adcode
n7117305936,osm_stop_area_group_id,r10558274,n6930098568,,350,150996801,150996801,郎辛庄,070065,amap_id,amap_name,adcode
n7117305939,osm_stop_area_group_id,r10558275,n6930098569,,351,150996803,150996803,黑庄户,070067,amap_id,amap_name,adcode
n7117305950,osm_stop_area_group_id,r10558276,n6930098570,,352,150996805,150996805,万盛西,070069,amap_id,amap_name,adcode
n7117305952,osm_stop_area_group_id,r10558277,w691433579,"n8498001930,n11243773151,n6930098626,n6930098625",353,150996807,150996807,万盛东,070071,amap_id,amap_name,adcode
n7117305972,osm_stop_area_group_id,r10558278,w691433562,"n8498001931,n8498001934,n8498001933,n8498001932",354,150996809,150996809,群芳,070073,amap_id,amap_name,adcode
n7117305969,osm_stop_area_group_id,r10558279,n7117305974,"n8498013140,n8498013139",355,150996811,150996811,高楼金,070075,amap_id,amap_name,adcode
n7117305954,osm_stop_area_group_id,r10558280,n6930098785,"n9039109137,n9039109136,n9039109139,n9039109138",356,150996813,150995130,花庄,070077,amap_id,amap_name,adcode
n10216220694,osm_stop_area_group_id,r13131768,n6930098800,,357,150996815,150995131,环球度假区,070079,amap_id,amap_name,adcode
n10216220695,osm_stop_area_group_id,r13131768,n6930098800,,357,150996815,150995131,环球度假区,070079,amap_id,amap_name,adcode
n7117305975,osm_stop_area_group_id,r10558280,n6930098785,"n9039109137,n9039109136,n9039109139,n9039109138",356,150996813,150995130,花庄,070077,amap_id,amap_name,adcode
n7117305978,osm_stop_area_group_id,r10558279,n7117305974,"n8498013140,n8498013139",355,150996811,150996811,高楼金,070075,amap_id,amap_name,adcode
n7117305973,osm_stop_area_group_id,r10558278,w691433562,"n8498001931,n8498001934,n8498001933,n8498001932",354,150996809,150996809,群芳,070073,amap_id,amap_name,adcode
n7117305953,osm_stop_area_group_id,r10558277,w691433579,"n8498001930,n11243773151,n6930098626,n6930098625",353,150996807,150996807,万盛东,070071,amap_id,amap_name,adcode
n7117305949,osm_stop_area_group_id,r10558276,n6930098570,,352,150996805,150996805,万盛西,070069,amap_id,amap_name,adcode
